,closed,share
 Minerals ,0,0.0035752592062924565
 Motion Capture ,0,0.0035752592062924565
 E-Commerce Platforms ,0,0.06077940650697176
 Incentives ,0,0.04290311047550947
 Self Development ,0,0.010725777618877368
 Adventure Travel ,0,0.014301036825169826
 Healthcare Services ,0,0.03575259206292456
 Enterprise Application ,0,0.007150518412584913
 Guides ,0,0.025026814444047196
 Information Technology ,0,0.21094029317125493
 Sex ,0,0.0035752592062924565
 Women ,0,0.025026814444047196
 Lifestyle Businesses ,0,0.0035752592062924565
 Productivity Software ,0,0.0893814801573114
 Intelligent Systems ,0,0.007150518412584913
 Search Marketing ,0,0.01787629603146228
 Radical Breakthrough Startups ,0,0.0035752592062924565
 Graphics ,0,0.04647836968180193
 Restaurants ,0,0.1394351090454058
 Local Advertising ,0,0.01787629603146228
 Teachers ,0,0.021451555237754737
 Data Centers ,0,0.0643546657132642
 Content Creators ,0,0.028602073650339652
 Marketing Automation ,0,0.1322845906328209
 Enterprise Security ,0,0.014301036825169826
 Renewable Energies ,0,0.04290311047550947
 Training ,0,0.06077940650697176
 Online Auctions ,0,0.007150518412584913
 Drones ,0,0.01787629603146228
 IT and Cybersecurity ,0,0.01787629603146228
 App Stores ,0,0.021451555237754737
 Creative ,0,0.03575259206292456
 Medical Professionals ,0,0.014301036825169826
 Mechanical Solutions ,0,0.0035752592062924565
 Quantitative Marketing ,0,0.0035752592062924565
 Comparison Shopping ,0,0.01787629603146228
 Internet Technology ,0,0.0035752592062924565
 Face Recognition ,0,0.007150518412584913
 Human Resource Automation ,0,0.0035752592062924565
 EBooks ,0,0.0035752592062924565
 Digital Entertainment ,0,0.014301036825169826
 Psychology ,0,0.014301036825169826
 Service Providers ,0,0.025026814444047196
 Bio-Pharm ,0,0.010725777618877368
 Unifed Communications ,0,0.028602073650339652
 Energy ,0,0.07865570253843404
 Broadcasting ,0,0.03575259206292456
 Technical Continuing Education ,0,0.0035752592062924565
 Casual Games ,0,0.007150518412584913
 RFID ,0,0.0035752592062924565
 mHealth ,0,0.010725777618877368
 Entrepreneur ,0,0.03575259206292456
 Direct Marketing ,0,0.021451555237754737
 Business Analytics ,0,0.028602073650339652
 Outdoor Advertising ,0,0.007150518412584913
 Self Storage ,0,0.0035752592062924565
 Government Innovation ,0,0.010725777618877368
 Group SMS ,0,0.0035752592062924565
 Speech Recognition ,0,0.014301036825169826
 Cooking ,0,0.025026814444047196
 Art ,0,0.06792992491955667
 Retirement ,0,0.0035752592062924565
 Mass Customization ,0,0.021451555237754737
 Designers ,0,0.0035752592062924565
 Service Industries ,0,0.0035752592062924565
 Humanitarian ,0,0.014301036825169826
 Image Recognition ,0,0.01787629603146228
 Direct Sales ,0,0.0035752592062924565
 Distributors ,0,0.007150518412584913
 Organic Food ,0,0.025026814444047196
 Innovation Management ,0,0.010725777618877368
 Home Owners ,0,0.0035752592062924565
 Golf Equipment ,0,0.0035752592062924565
 Enterprise Purchasing ,0,0.0035752592062924565
 Developer APIs ,0,0.0822309617447265
 In-Flight Entertainment ,0,0.0035752592062924565
 Cosmetic Surgery ,0,0.0035752592062924565
 Gas ,0,0.0035752592062924565
 Video Processing ,0,0.007150518412584913
 Communications Hardware ,0,0.05005362888809439
 Fleet Management ,0,0.01787629603146228
 Licensing ,0,0.014301036825169826
 College Campuses ,0,0.0035752592062924565
 Travel & Tourism ,0,0.03932785126921702
 Gamification ,0,0.04647836968180193
 Mobile Health ,0,0.0321773328566321
 Renewable Tech ,0,0.007150518412584913
 Industrial Automation ,0,0.010725777618877368
 Loyalty Programs ,0,0.07150518412584912
 Corporate IT ,0,0.014301036825169826
 Natural Language Processing ,0,0.01787629603146228
 QR Codes ,0,0.028602073650339652
 Cyber ,0,0.0035752592062924565
 Video Games ,0,0.053628888094386845
 Predictive Analytics ,0,0.09295673936360387
 Mobile Social ,0,0.014301036825169826
 Auto ,0,0.01787629603146228
 Financial Exchanges ,0,0.007150518412584913
 Charter Schools ,0,0.010725777618877368
 Utilities ,0,0.03932785126921702
 IaaS ,0,0.0321773328566321
 Fuels ,0,0.0035752592062924565
 Hotels ,0,0.0893814801573114
 Knowledge Management ,0,0.0035752592062924565
 Franchises ,0,0.007150518412584913
 Local Based Services ,0,0.03575259206292456
 M2M ,0,0.01787629603146228
 University Students ,0,0.0035752592062924565
 Genetic Testing ,0,0.007150518412584913
 Advice ,0,0.03575259206292456
 Wealth Management ,0,0.014301036825169826
 Weddings ,0,0.04290311047550947
 Personal Branding ,0,0.0035752592062924565
 Moneymaking ,0,0.0035752592062924565
 Chemicals ,0,0.021451555237754737
 Big Data ,0,0.3932785126921702
 Governments ,0,0.014301036825169826
 Senior Citizens ,0,0.0035752592062924565
 Oil and Gas ,0,0.025026814444047196
 Insurance ,0,0.0321773328566321
 Monetization ,0,0.0321773328566321
 Nightclubs ,0,0.014301036825169826
 Displays ,0,0.04290311047550947
 Linux ,0,0.0321773328566321
 Textbooks ,0,0.025026814444047196
 Polling ,0,0.021451555237754737
 Early-Stage Technology ,0,0.0035752592062924565
 Diabetes ,0,0.0321773328566321
 Social Opinion Platform ,0,0.0035752592062924565
 Vacation Rentals ,0,0.03575259206292456
 Virtual Workforces ,0,0.007150518412584913
